rxcui,atc_prod
1427212,XXXX
899476,V01AA
901515,J07AH
1538097,L04AG
74,A11HA
94,N05CX
168,G01AC
272,A07BA
435,R03AC
1310568,XXXX
569,L01XX
598,G04BE
1311504,XXXX
703,C01BD
1009,B01AB
1098,XXXX
1418,D10AE
1540,XXXX
1622,L01DC
1694,R06AE
1705,A11JB
1426882,XXXX
1808,C03CA
1813,S01ED
1901,B05BA
1099021,R05CA
352374,B01AD
993453,M05BX
356739,R03BA
1193326,L01EJ
1356689,L01XX
1364436,B01AF
1665684,C10AX
6711,N05CX
1311098,XXXX
6802,A06AC
6857,N02BG
6901,N06BA
6926,C01BB
6960,N05CD
6972,A06AA
7004,L01XX
7052,N02AA
1426911,XXXX
7243,N07BB
7456,V03AN
7538,XXXX
1427222,H05AA
7980,J01CE
8011,L01XX
8016,A09AC
1432510,D02AB
190353,XXXX
194000,L01BC
306674,G04BE
225807,N06DA
319780,XXXX
324042,C03EA
321064,C09DX
321208,B01AX
342280,C03DA
826072,B02BD
1923319,L04AC
1491862,XXXX
121243,J02AC
1946584,R01AD
1986826,J07BK
117055,L04AG
214444,R05DA
214555,L04AB
214837,A16AX
215051,R01AA
1052951,D02AC
215855,D02AX
217713,N02CC
798166,N01BA
219484,N06BA
220141,J06BD
225244,L01XD
692970,V03AN
709271,L04AB
834236,M04AA
848763,XXXX
1425099,L01EE
72031,XXXX
72962,L01CD
1484283,V03AE
1307404,A06AX
1426165,B02BD
283838,B03XA
612865,L04AC
1311139,XXXX
9945,V04CC
1363917,XXXX
1362879,XXXX
10245,XXXX
10390,N07XX
10524,B05BA
10591,J01CA
10594,B01AC
10612,P01AB
10761,D07AB
10763,C03DB
10803,L01BC
10825,R06AD
11002,D02AE
1427088,XXXX
11246,A11JA
1316080,XXXX
11473,M05BA
1543173,D01AE
1430123,N06AB
196496,A07EC
196501,N07XX
196503,C10AA
809864,B06AC
236344,XXXX
237057,XXXX
1988648,J05AX
1597095,J07BM
27244,XXXX
28874,A07DA
28889,R06AX
29365,D05AX
30077,XXXX
1494066,P01CX
31738,XXXX
32485,D04AB
32624,N03AF
33738,A10BD
35382,D04AB
1362931,XXXX
36117,R03AK
36437,N06AB
36572,N04BA
835827,G03BA
38404,N03AX
647295,R03AC
284900,L01BA
285193,XXXX
287523,J07AL
301542,C10AA
302379,R03DX
151414,R01AD
727341,C01CA
153889,R03DC
155046,G04BX
155122,XXXX
151890,C07AA
152371,R06AA
153442,N02CC
165516,H02AA
1728769,XXXX
1730435,XXXX
3992,N01BB
350202,XXXX
4186,XXXX
4452,H02AA
4603,C03CA
4716,XXXX
4845,M01AX
4917,C05AE
4262,B02BD
4271,B02BD
619985,L01EX
1963,XXXX
1998,C09BA
2015,J01CA
2017,A02BX
2062,S01XA
2106,XXXX
2346,L01AA
2378,XXXX
2626,N05AH
2683,M04AC
1432987,XXXX
1668274,XXXX
3102,G03XA
3105,M03CA
3129,XXXX
3288,N06BA
3322,N05BA
3364,J05AF
3521,B01AC
3642,N02BE
42347,N06AX
46241,D10AX
1305651,XXXX
48203,J01CR
50937,XXXX
1309680,XXXX
44157,L01BB
49247,C01BD
49276,C02CA
53654,J05AG
260101,J05AH
262485,L02BG
596724,L01XX
18603,R01AD
19257,N07AB
19476,XXXX
19666,XXXX
20974,N02BA
21116,XXXX
1311278,XXXX
21373,B03BA
25037,J01DD
26143,XXXX
26344,XXXX
5542,G03DA
687620,A06AC
1364430,B01AF
711942,B02BX
1092441,L04AG
82819,N07BB
316987,XXXX
1315115,XXXX
106332,XXXX
68099,J05AB
68244,J05AF
5470,C02DB
5497,XXXX
5553,N05BB
5690,XXXX
1367185,XXXX
1491870,XXXX
6308,B05BA
6406,A09AA
6446,XXXX
6574,XXXX
2056691,N02CD
202582,C10AC
203219,XXXX
203279,M03AX
203344,C07AB
204346,R01AA
629565,A16AB
8375,XXXX
202421,B01AA
202433,N02BE
705009,M03BX
705872,M05BA
723805,L01EG
405206,N06DX
8175,R01BA
8332,C07AA
8366,XXXX
1358182,XXXX
8629,C02CA
8691,N03AA
8698,M04AB
9068,N07XX
9071,P01BC
1648419,XXXX
9100,N02BE
9230,A03FA
1491872,XXXX
9793,D06BA
9796,A02AF
9871,XXXX
858068,M04AC
889548,XXXX
91264,XXXX
91405,XXXX
67031,B01AB
99,B02AA
167,S01EC
178,XXXX
448,D08AX
519,M04AA
725,N06BA
1011,L04AA
1091,B05BA
1169,XXXX
1182,XXXX
1311067,XXXX
1310252,XXXX
1512,A11JC
1514,D07BC
1621,XXXX
1819,N07BC
1311287,XXXX
1114199,B01AF
352951,S01XA
358258,L01XG
1305661,XXXX
993345,P02CA
355460,L01FE
1424911,L01EC
1313336,XXXX
57230,XXXX
1312993,D11AF
1314236,XXXX
1364353,L01EA
58295,D04AA
6694,P01BC
6754,N02AB
1311634,XXXX
6816,N06BA
6920,XXXX
6963,C01CA
7906,XXXX
8047,N04BC
2121085,L04AE
304962,XXXX
305064,D08AE
225702,D11AX
228271,L03AB
337521,L01FG
322155,B01AX
1731031,M04AA
817400,XXXX
114052,XXXX
117466,XXXX
119565,G04BD
214824,V03AE
216462,M01CC
217010,G03XC
223779,G02BB
1799206,XXXX
1734628,XXXX
1734630,XXXX
1736038,N03AX
587318,XXXX
493191,J07BH
1086769,N06AX
1653781,A07DA
1538138,L04AG
892610,V01AA
73689,M04AA
1488293,B02BD
787390,N02AX
818288,XXXX
283753,XXXX
283821,V03AF
135446,N06DA
139778,A06AX
1599788,L04AC
2047628,V03AE
10046,XXXX
1363920,XXXX
1311281,XXXX
10156,A02BX
10171,J01EE
1305578,XXXX
10502,N05AC
10572,H03AA
10582,H03AA
1432991,XXXX
10800,N05AB
10827,N03AC
1426856,XXXX
10962,B05BA
11359,A11JB
1432993,XXXX
11423,D02AB
11636,G03AA
197117,V03AB
235743,A10BD
236982,XXXX
1310576,XXXX
1598264,A10BJ
27084,R05DA
28395,XXXX
28486,XXXX
1426330,XXXX
29787,M02AC
32915,H05AA
33562,J05AD
34311,XXXX
34345,V03AB
1989334,XXXX
39952,D11AC
39385,J06BB
644298,S01LA
1114326,R03AC
1114195,B01AF
683073,R01AD
680973,L04AJ
151325,L01AA
151666,R06AA
153020,G04BE
151871,L01XX
151972,C10AA
152633,L04AA
3755,V03AB
4110,J04AK
1368154,XXXX
1432988,XXXX
4570,A16AX
4637,N06DA
4847,M01AX
4890,XXXX
1364467,XXXX
2034,V03AN
2105,L01AD
2176,J01DC
2231,J01DB
1310122,XXXX
2438,XXXX
2578,R06AA
898492,M09AB
2623,D01AC
2670,R05DA
1314344,XXXX
2890,XXXX
3108,J04BA
3109,L01DB
3131,V03AC
3143,G03XX
3264,S01CA
3355,M01AB
3390,G03CB
3500,A07DA
1363918,XXXX
41126,R03AK
1311299,XXXX
48937,N05CM
50975,L02AE
54993,A11JB
56510,XXXX
1492733,L04AA
40575,XXXX
42954,A11JA
832067,C01BD
263010,XXXX
274403,H01AC
279645,N02CC
1427085,XXXX
1354504,XXXX
1362737,XXXX
16681,A10BF
19552,J01DC
19860,N02BE
1368145,XXXX
20859,N01BA
21766,XXXX
22054,XXXX
24460,C05BB
24605,M01AB
26506,XXXX
14448,V09IX
15202,B01AE
15842,XXXX
125933,XXXX
460392,H05BX
473837,J01XA
58939,D03BA
83367,C10BA
1364347,L01EA
314504,B02BD
1356151,XXXX
316958,XXXX
316966,XXXX
317002,XXXX
710303,N02AJ
102490,R05FA
70602,B05BA
69634,L03AA
5463,A11GB
1311095,XXXX
1311225,XXXX
6054,C01CA
6130,N01AX
6375,N04BA
6383,XXXX
6387,D04AB
6417,A16AX
202632,L01BC
202998,M01AB
203240,N02AA
203345,A02BC
203644,C09AA
203729,J01FA
203781,N07BA
631252,N06BA
82003,A11JC
616812,R03BA
1426465,XXXX
202398,C01BB
616274,L01EX
615205,A06AX
657797,L01EG
402316,A16AX
1044977,D11AC
1549540,XXXX
1311228,XXXX
8263,XXXX
8299,V03AB
8310,A11JC
8333,XXXX
8339,J01CR
8462,XXXX
8703,C10AB
8834,B02BD
684879,A11JC
1365969,XXXX
9641,XXXX
1311588,XXXX
891641,V01AA
89886,J06BB
1363703,XXXX
1544125,XXXX
798306,J07AM
94317,XXXX
88014,N02CC
89013,N05AX
66870,XXXX
1489913,C01CA
1490796,XXXX
194,S01EB
197,R05CB
535,B02AB
1433189,XXXX
644,C03DB
704,N06CA
1368624,XXXX
1356,XXXX
1596,A06AB
1828,L01AB
1848,XXXX
2619423,XXXX
1886,N02BA
1894,A11CC
1101108,R06AA
358330,N06BA
1008849,D02AF
356887,R06AE
1347560,XXXX
1313310,XXXX
57021,XXXX
1368451,A16AX
1442981,L01EL
6728,XXXX
6809,A10BD
6813,N07BC
2598120,XXXX
6832,J01XX
6911,N02CA
6915,A03FA
6995,L01DC
1600930,XXXX
7299,D07CA
7393,B03AE
7402,P02DA
7426,C08CA
7531,N06AA
1747300,XXXX
7646,B01AC
7670,XXXX
7762,XXXX
7824,H01BB
7975,M01CC
8001,N02AD
194279,J06BD
306266,J05AF
227743,A02BX
324072,D02AA
327361,L04AB
341248,C10BA
253151,XXXX
253172,XXXX
1944385,L02AE
114970,R03DC
114979,A02BC
115698,N05AE
215101,M01AE
216284,XXXX
220343,N03AX
224917,N06BA
225039,A16AX
1801836,S01XA
27291,S01XA
1876905,N07XX
495430,J05AR
75207,C02KX
539812,G04BD
614373,V03AC
134413,G04BX
134748,N04BD
1919083,L01EX
135092,R03DC
135447,N06DA
141704,L04AH
2360434,XXXX
725085,M03BX
10188,XXXX
10379,G03BA
10438,R03DA
10472,XXXX
10562,XXXX
10580,XXXX
10600,S01ED
10627,S01CA
328140,XXXX
10814,H03AA
10890,D02AX
10999,XXXX
11103,XXXX
1942960,XXXX
11251,XXXX
11416,XXXX
196463,L04AD
1372003,XXXX
809868,B06AC
236911,A11EX
1550941,M04AC
1592280,L04AX
1598078,J05AH
1594659,L04AG
28004,C01DA
28031,J02AC
1427058,XXXX
34822,B02BD
35465,J06BB
35619,A07AA
36567,C10AA
37418,N02CC
37798,G04CA
1999994,XXXX
1534764,XXXX
1310520,L04AK
2642870,XXXX
284700,A07EC
284913,XXXX
285245,XXXX
153239,R01AD
155043,G04BX
151827,A10BA
595060,S01LA
540404,N05CF
3827,C09AA
4018,A12AX
4301,XXXX
4316,C09BB
4493,N06AB
4530,XXXX
4550,J01XX
1310171,XXXX
4678,J05AB
4832,H04AA
1426910,XXXX
1373150,XXXX
5093,N05AD
1364504,J04AK
623033,A06AX
2045371,N03AX
2296,XXXX
2418,A11JB
2540,XXXX
2669,A11CB
2878,H02AB
3247,N06AA
3418,N02CA
3498,R06AA
1300488,B02BD
1248841,R01AD
42331,A02BB
42933,XXXX
56455,N06BC
1490662,G03BA
1539758,D01AC
49131,A07EC
1745104,L04AC
261602,XXXX
276237,J05AR
1243019,A10BD
1243041,R07AX
18330,L01XX
18631,J01FA
20791,D08AC
25025,G04CB
25033,J01DD
25480,N02BF
26225,A04AA
1921882,N07XX
13982,XXXX
2099276,XXXX
1307619,L01EA
1484911,J05AP
317808,XXXX
479172,XXXX
106212,D04AB
5224,B01AB
2603494,XXXX
5340,B05BA
5492,C05AA
5514,B03BA
5552,L01XX
5691,N06AA
5880,L03AB
6033,B05BA
6069,P02CF
6227,D02AX
6470,N05BA
202770,A07EC
202991,C03CA
203167,J01DB
204257,L01XX
748281,D05AX
1365975,J06BB
723868,B02BD
8080,XXXX
8153,C04AB
8516,S01XA
8588,XXXX
8686,N01BB
8737,B05BA
8785,N02AC
8787,C07AA
8928,A06AC
9627,XXXX
9895,C02DD
1370773,XXXX
892368,V01AA
885779,XXXX
89821,XXXX
90650,XXXX
94650,M02AB
2370867,XXXX
1592254,L04AX
541684,M05BA
67109,B01AB
899448,V01AA
891434,XXXX
1545063,N07XX
44,V03AF
103,L01BB
161,N02AJ
290,XXXX
430,P02CA
259351,XXXX
612,A02AF
620,N04BB
683,L01XD
695,XXXX
1299884,V09GX
723,J01CA
756,N06AA
1999003,C01CX
1191,N02BA
1223,A03CB
1388,P03AB
1599,XXXX
1760,N04BC
1100076,L02BX
352657,H05AA
1357536,L04AF
1866397,D04AB
60819,B01AE
57213,H03AA
6674,L01AA
6750,R02AD
2181306,XXXX
6851,L01BA
7213,R03AL
1044975,XXXX
7226,C07BA
7233,J01CF
7315,N07AA
7442,R07AX
7454,J01XE
7624,XXXX
7895,A03AD
7982,J01CE
7994,P01CX
1547545,L01FF
187832,N02BF
190283,G04CA
190465,G04BE
227518,XXXX
545290,L03AB
337525,L01EB
114228,N06AB
215672,S01ED
216420,R01AX
217115,N02BE
1098581,D11AF
219236,V03AE
219610,L04AB
220581,N02BE
221082,D02AX
224891,A01AB
224932,D02AC
224936,XXXX
700810,N06BA
131725,N05CF
588250,N06AX
1801820,S01XA
496892,J07BH
1358957,XXXX
901337,V01AA
891658,V01AA
72435,L04AC
73107,C01CX
74667,N05CF
318341,L01FE
1116632,B01AC
1302966,L01XG
282446,J02AC
283742,A02BC
486961,XXXX
282381,N02AB
282386,L01EA
1147220,L01EC
134404,G03GA
136411,G04BE
753143,M05BA
9991,J01FA
1489915,XXXX
1362878,XXXX
10368,R03CC
10454,B03AE
10510,N05AF
10528,B02BC
10553,XXXX
1305547,XXXX
10753,D10AD
10829,J01EA
11055,B01AD
1432992,XXXX
11258,A12AX
11291,XXXX
11295,V07AB
844227,G04BE
819911,S01AE
1546356,XXXX
237159,XXXX
1546357,XXXX
1593603,XXXX
232540,XXXX
1591922,XXXX
1928588,L04AC
27781,XXXX
28393,D02AX
29421,A11EX
29903,XXXX
1363051,XXXX
32385,A07EC
34372,S01CA
35406,A11JA
36345,D11AC
36676,B05XA
2118525,P02BX
659877,J07BM
644101,A16AB
284848,D11AH
1364291,XXXX
298869,C03DA
302285,C03XA
151392,J01CR
153101,D10AD
1358977,XXXX
3752,V04CX
3754,V04CX
1439114,XXXX
1316053,XXXX
1316054,XXXX
4021,G02AB
4103,G03CA
4135,N03AD
4182,XXXX
4385,B02BC
4441,C01BC
4508,L02BB
4511,A11JC
4608,XXXX
4617,XXXX
4719,C10AB
1439028,XXXX
5021,D01BA
5095,XXXX
4254,B02BD
1992,M02AC
2187,J01DC
2194,J01DC
1318474,XXXX
2496,XXXX
1318475,XXXX
2685,C10AC
2471083,XXXX
2837,XXXX
3194,XXXX
3384,P02CB
3407,C01AA
3445,V03AB
3478,G02AD
798304,J07AM
3639,L01DB
3640,J01AA
1306128,XXXX
1242806,XXXX
41144,XXXX
50121,R01AD
54536,A07BB
261440,A02BC
261633,J05AH
262105,L02BG
1193332,L01EJ
16521,J05AF
1425216,XXXX
17128,A02BC
17276,C03EA
18747,A07EC
19044,XXXX
19143,A11JB
21090,D01AE
1368153,XXXX
1426884,XXXX
